value1;value2;value3;
1;24;909;
2;335;3363;
3;888;3869;
4;218;7501;
5;156;8285;
6;232;6081;
7;587;6972;
8;10;8898;
9;894;8075;
10;909;7710;
11;737;9033;
12;315;8797;
13;282;3596;
14;861;99;
15;82;8782;
16;446;5649;
17;552;1186;
18;939;5407;
19;621;9953;
20;87;9918;
21;906;8598;
22;27;3581;
23;221;4050;
24;386;7051;
25;715;7996;
26;611;3043;
27;543;9065;
28;296;1417;
29;600;5620;
30;971;7423;
31;273;8842;
32;264;5284;
33;994;4292;
34;45;2810;
35;148;5522;
36;357;8690;
37;466;1633;
38;564;2902;
39;171;8664;
40;222;7763;
41;939;869;
42;809;6145;
43;497;5615;
44;192;3473;
45;68;5159;
46;521;50;
47;286;7344;
48;342;5727;
49;907;1976;
50;407;5689;
51;730;8338;
52;385;2108;
53;610;2146;
54;464;5360;
55;224;9972;
56;880;2991;
57;404;4201;
58;217;2477;
59;604;1695;
60;913;841;
61;656;3259;
62;251;5647;
63;629;9254;
64;789;6024;
65;389;7409;
66;639;1663;
67;619;1895;
68;695;7968;
69;772;9886;
70;418;7775;
71;425;2008;
72;85;1777;
73;105;3260;
74;986;6315;
75;516;7708;
76;997;7718;
77;450;420;
78;190;172;
79;401;6158;
80;857;5042;
81;221;7188;
82;513;3601;
83;194;9235;
84;387;3074;
85;158;3112;
86;638;1222;
87;177;2058;
88;305;5599;
89;46;5907;
90;197;143;
91;867;6924;
92;121;4923;
93;476;8884;
94;789;4267;
95;55;5869;
96;262;2433;
97;456;9924;
98;935;8067;
99;676;187;
